[Sunday/February 19/02/2023 22:35:16] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E06 - Episode 6 (1080p BluRay x265 Ghost).mkv | length=3487.68 | time=1.24
[Sunday/February 19/02/2023 22:35:16] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E04 - Episode 4 (1080p BluRay x265 Ghost).mkv | length=3309.088 | time=1.72
[Sunday/February 19/02/2023 22:35:18] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E05 - Episode 5 (1080p BluRay x265 Ghost).mkv | length=3403.072 | time=3.8
[Sunday/February 19/02/2023 22:49:07] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E04 - Episode 4 (1080p BluRay x265 Ghost).mkv | length=3309.088 | time=709.53049520025
[Sunday/February 19/02/2023 23:08:24] Videos/[Judas] My Hero Academia - S06E04.mkv | length=1435.37 | time=1314.0286288007
[Sunday/February 19/02/2023 23:29:25] Videos/[Judas] Boku no Hero Academia - S06E05.mkv | length=1435.28 | time=1313.4533119008
[Sunday/February 19/02/2023 23:46:58] Videos/[Judas] My Hero Academia - S06E06.mkv | length=1433.37 | time=1312.8777440008
[Monday/February 20/02/2023 19:38:03] Videos/[Judas] My Hero Academia - S06E11.mkv | length=1435.62 | time=1313.1446660009
[Monday/February 20/02/2023 19:58:05] Videos/[Judas] My Hero Academia - S06E12.mkv | length=1435.62 | time=1312.5771266007
[Monday/February 20/02/2023 20:19:48] Videos/[Judas] My Hero Academia - S06E13.mkv | length=1435.33 | time=1435.33
[Monday/February 20/02/2023 20:36:03] Videos/[Judas] My Hero Academia - S06E14.mkv | length=1433.07 | time=1316.1814071006
[Monday/February 20/02/2023 20:54:55] Videos/[Judas] My Hero Academia - S06E15.mkv | length=1435.33 | time=1314.8035661005
[Monday/February 20/02/2023 21:14:51] Videos/[Judas] Boku no Hero Academia - S06E16.mkv | length=1435.58 | time=1315.5719039008
[Monday/February 20/02/2023 22:27:31] Videos/[Judas] My Hero Academia - S06E17.mkv | length=1432.91 | time=1314.0947041005
[Monday/February 20/02/2023 22:39:00] Videos/[Judas] Boku no Hero Academia (My Hero Academia) - S06E18.mkv | length=1431.66 | time=793.70134219988
[Tuesday/February 21/02/2023 21:14:53] /home/harshan/Videos/Anime/[35mm] Koe no Katachi - A Silent Voice [1080p] [B9471AD7].mkv | length=7782.783 | time=2.7193947
[Tuesday/February 21/02/2023 21:15:54] /home/harshan/Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E01 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1420.063 | time=14.6481814
[Tuesday/February 21/02/2023 22:28:19] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E02 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1420.109 | time=1329.2111677006
[Wednesday/February 22/02/2023 22:22:29] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E03 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.64 | time=1328.4519237007
[Wednesday/February 22/02/2023 22:47:45] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E04 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.58 | time=1346.2629994
[Thursday/February 23/02/2023 15:11:06] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E01 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1420.063 | time=1420.0629501134
[Thursday/February 23/02/2023 15:11:09] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E02 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1420.109 | time=1330.33
[Thursday/February 23/02/2023 15:11:11] Videos/Anime/[DKB] Bocchi the Rock! - (Season 01) [1080p][HEVC x265 10bit][Multi-Subs]/[DKB] Bocchi the Rock! - S01E03 [1080p][HEVC x265 10bit][Multi-Subs].mkv | length=1421.64 | time=1329.454
